ticker,quarter,call_date,net_sentiment,positive_pct,negative_pct,uncertainty_pct,word_count,return_1d,return_5d,return_30d
TGT,Q1_2026,2026-05-20,0.013787575150300602,0.018597194388777556,0.004809619238476954,0.007294589178356714,12475,0.031227005948220903,0.02534127710062805,0.06049206070236331
TGT,Q4_2025,2026-03-03,0.010799943896395343,0.015241479265042778,0.004441535368647435,0.004628547384169433,21389,-0.00596029289328998,-0.005463585880362018,-0.0028974256984388505
TGT,Q3_2025,2025-11-19,0.012752475247524752,0.018455445544554454,0.005702970297029703,0.005544554455445544,12625,-0.0278810355165047,-0.017890386103505736,0.13859194945730263
TGT,Q1_2025,2025-05-21,0.009543346414555834,0.01712450945415626,0.007581163039600428,0.006243310738494471,11212,0.022040566183043637,0.042791044764618515,0.027201430295157626
WMT,Q1_FY26,2025-05-15,0.007269279393173199,0.018963337547408345,0.011694058154235146,0.00995575221238938,12656,0.019615898210774193,0.01504933377919457,-0.021380339755204297
WMT,Q3_FY25,2024-11-19,0.00792418920022874,0.017645617188138223,0.009721427987909485,0.004983253002205702,12241,0.0066972971328237004,0.033487112115023546,0.08091150396543423
WMT,Q3_FY26,2025-11-20,0.008005227903937265,0.018134291782388498,0.010129063878451234,0.006126449926482601,12242,-0.01671186475899546,-0.0010269981121779747,0.05339867082137993
COST,Q3_2025,2025-05-29,0.005918205105556047,0.012896387244943026,0.00697818213938698,0.008921473368077025,11321,0.031167569872226714,0.0464440768051181,-0.018637062992721984
COST,Q1_2026,2025-12-11,0.01211231418608919,0.019177830794641217,0.007065516608552028,0.005689117269223711,10898,-1.1367068065102526e-05,-0.027236326820673343,0.06625364933135648
COST,Q3_2026,2026-05-28,0.008353569694026227,0.014861583292860612,0.006508013598834386,0.006896551724137931,10295,-0.039067539897173584,-0.041127373034288456,-0.048754032224874094
HD,Q1_2026,2026-05-19,0.012821905900249918,0.020428121264804956,0.007606215364555037,0.009779419754427903,9203,0.026914454861464456,0.026782193351281996,0.11356739791388729
HD,Q3_2025,2025-11-18,0.002344546381243629,0.014271151885830785,0.011926605504587157,0.007339449541284404,9810,-0.00588446437153515,0.00029719049438518277,0.06183432453924132
HD,Q1_2025,2025-05-20,0.007921928817451206,0.01791044776119403,0.009988518943742824,0.009070034443168772,8710,-0.01646997368165174,-0.017636946917766846,-0.06698650439512821
LOW,Q1_2026,2026-05-20,0.01278118609406953,0.017467620995228358,0.004686434901158828,0.008691206543967281,11736,-0.016466875074186923,-0.04057910980970433,-0.0300837915471949
LOW,Q4_2025,2026-02-25,0.013307135839957131,0.018844333303563453,0.005537197463606323,0.007144770920782352,11197,0.005208814161912195,-0.02224150978189352,-0.12436313613217748
LOW,Q3_2025,2025-11-19,0.017105379774882568,0.020916422937162102,0.003811043162279536,0.007533457413808385,11283,8.751775626725507e-05,0.001532374853339915,0.052668389251299845
TJX,Q4_FY26,2026-02-25,0.014608536863729742,0.021912805295594612,0.007304268431864871,0.007532526820360649,8762,0.01841866007131515,0.026440681429706316,-0.004492418417599009
TJX,Q1_FY27,2026-05-21,0.01392969855261726,0.021221025138752857,0.0072913265861355965,0.008270758515616499,9189,0.005144147872835161,0.009589701781099665,0.04261394112138819
TJX,Q3_FY26,2025-11-19,0.011447174963243016,0.01900861163621088,0.007561436672967864,0.008296576349506406,9522,0.015499662815054716,0.020917680020173187,0.060284035543136244
ROST,Q1_2026,2026-05-21,0.009289895647747518,0.0175617205395775,0.008271824891829982,0.008526342580809367,7858,0.0811270687865728,0.08052851517030374,0.09321147420876603
ROST,Q4_2025,2026-03-03,0.01097983052870271,0.02052750924931376,0.009547678720611052,0.00704141305645065,8379,0.08034813937854425,0.07341623606487431,0.11539913561289747
ROST,Q3_2026,2025-11-20,0.009668815292287174,0.02078239608801956,0.011113580795732384,0.008446321404756613,8998,0.0841120931997458,0.09968843864746169,0.12829641842218917
NKE,Q3_FY26,2026-03-31,0.010564997703261369,0.021244832338079927,0.010679834634818558,0.005741846577859439,8708,-0.15505485932819893,-0.16641423132016084,-0.1601665475778084
NKE,Q1_FY26,2025-09-30,0.01586402266288952,0.02413597733711048,0.008271954674220964,0.0046458923512747875,8825,0.06410426026057237,0.02065104061530499,-0.06926716020764105
NKE,Q4_FY25,2025-06-26,0.01214342994615649,0.020850040096230954,0.008706610150074465,0.005728032993470042,8729,0.1519028465928248,0.17380873894346047,0.2670291076681653
SBUX,Q4_FY25,2025-10-29,0.008152695185114137,0.019374640322271246,0.011221945137157107,0.006234413965087282,10426,-0.012118285334023439,-0.03813708455026064,0.042406003918814
SBUX,Q1_FY26,2026-01-28,0.014767317594481686,0.021665209365588262,0.006897891771106578,0.00728650539201399,10293,-0.013451127726179332,-0.036464960488778335,0.0366973340831839
SBUX,Q2_FY25,2025-04-29,0.012903833474616181,0.021663370066873883,0.0087595365922577,0.007064142413111049,10617,-0.056570359456601715,-0.03759569559532366,-0.0024549783550185883
CMG,Q4_2025,2026-02-03,0.01066925315227934,0.017749757516973812,0.007080504364694471,0.007856450048496605,10310,0.01940265947811589,0.010722542845957122,-0.053867676647662975
CMG,Q1_2026,2026-04-29,0.013859382903388973,0.02063732928679818,0.006777946383409206,0.008295397066262013,9885,0.03031221428075037,-0.0306154011774336,-0.03425283451418578
CMG,Q3_2025,2025-10-29,0.007995791688584955,0.018621778011572856,0.0106259863229879,0.009153077327722251,9505,-0.18184104244090746,-0.20749493060675853,-0.13179069630220924
