ticker,quarter,call_date,net_sentiment,positive_pct,negative_pct,uncertainty_pct,word_count,return_1d,return_5d,return_30d
TGT,Q1_2026,2026-05-20,0.013787575150300602,0.018597194388777556,0.004809619238476954,0.007294589178356714,12475,0.031227005948220903,0.02534127710062805,0.06049206070236331
TGT,Q4_2025,2026-03-03,0.010799943896395343,0.015241479265042778,0.004441535368647435,0.004628547384169433,21389,-0.00596029289328998,-0.005463585880362018,-0.0028974256984388505
TGT,Q3_2025,2025-11-19,0.012752475247524752,0.018455445544554454,0.005702970297029703,0.005544554455445544,12625,-0.02788112589526945,-0.017890386103505736,0.13859203983606738
TGT,Q1_2025,2025-05-21,0.009543346414555834,0.01712450945415626,0.007581163039600428,0.006243310738494471,11212,0.02204056429598107,0.04279104110094772,0.027201342348534583
WMT,Q1_FY26,2025-05-15,0.007269279393173199,0.018963337547408345,0.011694058154235146,0.00995575221238938,12656,0.019616059469461815,0.015049334980826928,-0.021380341462343525
WMT,Q3_FY25,2024-11-19,0.00792418920022874,0.017645617188138223,0.009721427987909485,0.004983253002205702,12241,0.006697297732184876,0.033487383590868815,0.080911511206447
WMT,Q3_FY26,2025-11-20,0.008005227903937265,0.018134291782388498,0.010129063878451234,0.006126449926482601,12242,-0.01671186475899546,-0.0010269981121779747,0.05339867082137993
COST,Q3_2025,2025-05-29,0.005918205105556047,0.012896387244943026,0.00697818213938698,0.008921473368077025,11321,0.031167754602725535,0.04644401869191344,-0.01863706412853314
COST,Q1_2026,2025-12-11,0.01211231418608919,0.019177830794641217,0.007065516608552028,0.005689117269223711,10898,-1.1367068065102526e-05,-0.027236326820673343,0.06625364933135648
COST,Q3_2026,2026-05-28,0.008353569694026227,0.014861583292860612,0.006508013598834386,0.006896551724137931,10295,-0.039067539897173584,-0.041127373034288456,-0.048754032224874094
HD,Q1_2026,2026-05-19,0.012821905900249918,0.020428121264804956,0.007606215364555037,0.009779419754427903,9203,0.026914454861464456,0.026782193351281996,0.11356739791388729
HD,Q3_2025,2025-11-18,0.002344546381243629,0.014271151885830785,0.011926605504587157,0.007339449541284404,9810,-0.00588446437153515,0.00029719049438518277,0.06183432453924132
HD,Q1_2025,2025-05-20,0.007921928817451206,0.01791044776119403,0.009988518943742824,0.009070034443168772,8710,-0.01646997368165174,-0.017636946917766846,-0.06698650439512821
LOW,Q1_2026,2026-05-20,0.01278118609406953,0.017467620995228358,0.004686434901158828,0.008691206543967281,11736,-0.016466875074186923,-0.04057910980970433,-0.0300837915471949
LOW,Q4_2025,2026-02-25,0.013307135839957131,0.018844333303563453,0.005537197463606323,0.007144770920782352,11197,0.005208814161912195,-0.022241568434426644,-0.12436313613217748
LOW,Q3_2025,2025-11-19,0.017105379774882568,0.020916422937162102,0.003811043162279536,0.007533457413808385,11283,8.751775626725507e-05,0.0015323070101180025,0.05266845709452175
TJX,Q4_FY26,2026-02-25,0.014608536863729742,0.021912805295594612,0.007304268431864871,0.007532526820360649,8762,0.01841866007131515,0.026440681429706316,-0.004492418417599009
TJX,Q1_FY27,2026-05-21,0.01392969855261726,0.021221025138752857,0.0072913265861355965,0.008270758515616499,9189,0.005144147872835161,0.009589701781099665,0.04261394112138819
TJX,Q3_FY26,2025-11-19,0.011447174963243016,0.01900861163621088,0.007561436672967864,0.008296576349506406,9522,0.015499768103093836,0.020917680020173187,0.060284035543136244
